timestamp,step,turn,status,board,action
14:44:41.375761,12,white,THINKING,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0, 0], [1, -1, 0, -1, 0, 0, 0, 0], [-1, 1, -1, -1, -1, 0, 0, 0], [0, -1, 1, -1, 1, 1, 1, 0], [0, 1, -1, -1, -1, 1, 0, 0], [0, 0, 1, -1, 1, -1, 0, 0], [0, 0, 1, -1, 0, -1, 0, 0]]",
14:44:41.379351,12,white,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 1, -1, 0, 0, 0, 0, 0], [1, 1, 0, -1, 0, 0, 0, 0], [-1, 1, -1, -1, -1, 0, 0, 0], [0, -1, 1, -1, 1, 1, 1, 0], [0, 1, -1, -1, -1, 1, 0, 0], [0, 0, 1, -1, 1, -1, 0, 0], [0, 0, 1, -1, 0, -1, 0, 0]]","[1, 1]"
14:44:42.590218,13,black,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 1, -1, 0, 0, 0, 0, 0], [1, 1, 0, -1, 0, 0, 0, 0], [-1, 1, -1, -1, -1, 0, 0, 0], [0, -1, 1, -1, 1, 1, 1, 0], [0, -1, -1, -1, -1, 1, 0, 0], [0, -1, -1, -1, 1, -1, 0, 0], [0, 0, 1, -1, 0, -1, 0, 0]]","[6, 1]"
14:44:42.593629,13,white,THINKING,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 1, -1, 0, 0, 0, 0, 0], [1, 1, 0, -1, 0, 0, 0, 0], [-1, 1, -1, -1, -1, 0, 0, 0], [0, -1, 1, -1, 1, 1, 1, 0], [0, -1, -1, -1, -1, 1, 0, 0], [0, -1, -1, -1, 1, -1, 0, 0], [0, 0, 1, -1, 0, -1, 0, 0]]",
14:44:42.595939,13,white,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 1, -1, 0, 0, 0, 0, 0], [1, 1, 0, -1, 0, 0, 0, 0], [1, 1, -1, -1, -1, 0, 0, 0], [1, 1, 1, -1, 1, 1, 1, 0], [0, -1, -1, -1, -1, 1, 0, 0], [0, -1, -1, -1, 1, -1, 0, 0], [0, 0, 1, -1, 0, -1, 0, 0]]","[0, 4]"
14:44:43.818410,14,black,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 1, -1, 0, 0, 0, 0, 0], [1, 1, 0, -1, 0, 0, 0, 0], [1, 1, -1, -1, -1, 0, 0, 0], [1, -1, 1, -1, 1, 1, 1, 0], [-1, -1, -1, -1, -1, 1, 0, 0], [0, -1, -1, -1, 1, -1, 0, 0], [0, 0, 1, -1, 0, -1, 0, 0]]","[5, 0]"
14:44:43.821747,14,white,THINKING,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 1, -1, 0, 0, 0, 0, 0], [1, 1, 0, -1, 0, 0, 0, 0], [1, 1, -1, -1, -1, 0, 0, 0], [1, -1, 1, -1, 1, 1, 1, 0], [-1, -1, -1, -1, -1, 1, 0, 0], [0, -1, -1, -1, 1, -1, 0, 0], [0, 0, 1, -1, 0, -1, 0, 0]]",
14:44:43.824155,14,white,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 1, -1, 0, 0, 0, 0, 0], [1, 1, 0, -1, 0, 0, 0, 0], [1, 1, -1, -1, -1, 0, 0, 0], [1, 1, 1, -1, 1, 1, 1, 0], [-1, -1, 1, -1, -1, 1, 0, 0], [0, -1, -1, 1, 1, -1, 0, 0], [0, 0, 1, 1, 1, -1, 0, 0]]","[4, 7]"
14:44:44.978647,15,black,MOVED,"[[0, 0, 0, 0, 0, 0, 0, 0], [-1, -1, -1, 0, 0, 0, 0, 0], [-1, -1, 0, -1, 0, 0, 0, 0], [-1, 1, -1, -1, -1, 0, 0, 0], [-1, 1, 1, -1, 1, 1, 1, 0], [-1, -1, 1, -1, -1, 1, 0, 0], [0, -1, -1, 1, 1, -1, 0, 0], [0, 0, 1, 1, 1, -1, 0, 0]]","[1, 0]"
14:44:44.978647,15,white,THINKING,"[[0, 0, 0, 0, 0, 0, 0, 0], [-1, -1, -1, 0, 0, 0, 0, 0], [-1, -1, 0, -1, 0, 0, 0, 0], [-1, 1, -1, -1, -1, 0, 0, 0], [-1, 1, 1, -1, 1, 1, 1, 0], [-1, -1, 1, -1, -1, 1, 0, 0], [0, -1, -1, 1, 1, -1, 0, 0], [0, 0, 1, 1, 1, -1, 0, 0]]",
