timestamp,step,turn,status,board,action
14:20:19.461601,7,white,MOVED,"[[1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [1, 1, 1, -1, 0, 1, 0, 0], [1, 1, -1, -1, 1, 0, 0, 0], [1, 1, 1, 1, 1, 0, 0, 0], [0, -1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[0, 4]"

14:20:20.685786,8,black,MOVED,"[[1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [1, 1, 1, -1, 0, 1, 0, 0], [1, 1, -1, -1, 1, 0, 0, 0], [1, 1, -1, 1, 1, 0, 0, 0], [0, -1, -1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[5, 2]"

14:20:20.689133,8,white,THINKING,"[[1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [1, 1, 1, -1, 0, 1, 0, 0], [1, 1, -1, -1, 1, 0, 0, 0], [1, 1, -1, 1, 1, 0, 0, 0], [0, -1, -1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",

14:20:20.699969,8,white,MOVED,"[[1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0, 0, 0], [1, 1, 1, 1, 0, 1, 0, 0], [1, 1, -1, 1, 1, 0, 0, 0], [1, 1, -1, 1, 1, 0, 0, 0], [0, -1, -1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[3, 1]"

14:20:21.847215,9,black,MOVED,"[[1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0, 0, 0], [1, 1, 1, 1, 0, 1, 0, 0], [1, 1, -1, 1, 1, 0, 0, 0], [1, 1, -1, -1, 1, 0, 0, 0], [0, -1, -1, 0, -1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[5, 4]"

14:20:21.849253,9,white,THINKING,"[[1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0, 0, 0], [1, 1, 1, 1, 0, 1, 0, 0], [1, 1, -1, 1, 1, 0, 0, 0], [1, 1, -1, -1, 1, 0, 0, 0], [0, -1, -1, 0, -1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",

14:20:21.854734,9,white,MOVED,"[[1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0, 0, 0], [1, 1, 1, 1, 0, 1, 0, 0], [1, 1, -1, 1, 1, 0, 0, 0], [1, 1, 1, 1, 1, 0, 0, 0], [0, -1, -1, 1, -1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[3, 5]"

14:20:23.042452,10,black,MOVED,"[[1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0, 0, 0], [1, 1, 1, 1, 0, 1, 0, 0], [1, 1, -1, -1, -1, -1, 0, 0], [1, 1, 1, 1, 1, 0, 0, 0], [0, -1, -1, 1, -1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[3, 5]"

14:20:23.050198,10,white,THINKING,"[[1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0, 0, 0], [1, 1, 1, 1, 0, 1, 0, 0], [1, 1, -1, -1, -1, -1, 0, 0], [1, 1, 1, 1, 1, 0, 0, 0], [0, -1, -1, 1, -1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",

14:20:23.055264,10,white,MOVED,"[[1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0, 0, 0], [1, 1, 1, 1, 0, 1, 0, 0], [1, 1, 1, 1, 1, 1, 1, 0], [1, 1, 1, 1, 1, 0, 0, 0], [0, -1, -1, 1, -1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[6, 3]"

14:20:24.268915,11,black,MOVED,"[[1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0, 0, 0], [1, 1, 1, 1, -1, 1, 0, 0], [1, 1, 1, -1, -1, 1, 1, 0], [1, 1, -1, 1, -1, 0, 0, 0], [0, -1, -1, 1, -1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]","[2, 4]"

14:20:24.270937,11,white,THINKING,"[[1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0, 0, 0], [1, 1, 1, 1, -1, 1, 0, 0], [1, 1, 1, -1, -1, 1, 1, 0], [1, 1, -1, 1, -1, 0, 0, 0], [0, -1, -1, 1, -1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",

